#--- Experiment --------------------------------------------------------------------------
#bap_smelt1_rep5_23may2023
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-O4BG9M2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:247475085D64A6AC Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
23-05-2023	08:19:45.409	0.016	17.054	OK
23-05-2023	08:20:45.409	60.016	17.057	OK
23-05-2023	08:21:45.409	120.016	17.059	OK
23-05-2023	08:22:45.411	180.017	17.057	OK
23-05-2023	08:23:45.410	240.016	17.058	OK
23-05-2023	08:24:45.410	300.016	17.062	OK
23-05-2023	08:25:45.411	360.017	17.061	OK
23-05-2023	08:26:45.412	420.018	17.064	OK
23-05-2023	08:27:45.412	480.018	17.068	OK
23-05-2023	08:28:45.412	540.018	17.068	OK
23-05-2023	08:29:45.411	600.018	17.072	OK
23-05-2023	08:30:45.412	660.019	17.071	OK
23-05-2023	08:31:45.411	720.018	17.075	OK
23-05-2023	08:32:45.412	780.019	17.073	OK
23-05-2023	08:33:45.413	840.019	17.078	OK
23-05-2023	08:34:45.415	900.022	17.083	OK
23-05-2023	08:35:45.416	960.023	17.077	OK
23-05-2023	08:36:45.416	1020.023	17.082	OK
23-05-2023	08:37:45.417	1080.023	17.085	OK
23-05-2023	08:38:45.417	1140.023	17.088	OK
23-05-2023	08:39:45.417	1200.024	17.092	OK
23-05-2023	08:40:45.417	1260.023	17.090	OK
23-05-2023	08:41:45.417	1320.024	17.095	OK
23-05-2023	08:42:45.417	1380.023	17.095	OK
23-05-2023	08:43:45.448	1440.054	17.101	OK
23-05-2023	08:44:45.467	1500.074	17.100	OK
23-05-2023	08:45:45.473	1560.079	17.101	OK
23-05-2023	08:46:45.473	1620.080	17.107	OK
23-05-2023	08:47:45.475	1680.081	17.106	OK
23-05-2023	08:48:45.483	1740.090	17.109	OK
23-05-2023	08:49:45.489	1800.095	17.117	OK
23-05-2023	08:50:45.491	1860.098	17.119	OK
23-05-2023	08:51:45.500	1920.106	17.116	OK
23-05-2023	08:52:45.500	1980.107	17.123	OK
23-05-2023	08:53:45.504	2040.111	17.126	OK
23-05-2023	08:54:45.512	2100.118	17.127	OK
23-05-2023	08:55:45.512	2160.118	17.125	OK
23-05-2023	08:56:45.525	2220.132	17.128	OK
23-05-2023	08:57:45.528	2280.134	17.131	OK
23-05-2023	08:58:45.533	2340.139	17.129	OK
23-05-2023	08:59:45.539	2400.146	17.133	OK
23-05-2023	09:00:45.544	2460.151	17.134	OK
23-05-2023	09:01:45.554	2520.161	17.139	OK
23-05-2023	09:02:45.555	2580.162	17.139	OK
23-05-2023	09:03:45.563	2640.170	17.139	OK
23-05-2023	09:04:45.576	2700.183	17.144	OK
23-05-2023	09:05:45.577	2760.183	17.148	OK
23-05-2023	09:06:45.578	2820.184	17.146	OK
23-05-2023	09:07:45.578	2880.184	17.149	OK
23-05-2023	09:08:45.578	2940.185	17.151	OK
23-05-2023	09:09:45.578	3000.185	17.155	OK
23-05-2023	09:10:45.587	3060.194	17.155	OK
23-05-2023	09:11:45.596	3120.202	17.158	OK
23-05-2023	09:12:45.601	3180.208	17.159	OK
23-05-2023	09:13:45.616	3240.222	17.161	OK
23-05-2023	09:14:45.616	3300.223	17.167	OK
23-05-2023	09:15:45.635	3360.242	17.166	OK
23-05-2023	09:16:45.644	3420.250	17.171	OK
23-05-2023	09:17:45.648	3480.254	17.168	OK
23-05-2023	09:18:45.653	3540.259	17.174	OK
23-05-2023	09:19:45.663	3600.270	17.174	OK
23-05-2023	09:20:45.674	3660.281	17.176	OK
23-05-2023	09:21:45.675	3720.281	17.177	OK
23-05-2023	09:22:45.676	3780.283	17.181	OK
23-05-2023	09:23:45.679	3840.285	17.180	OK
23-05-2023	09:24:45.679	3900.285	17.187	OK
23-05-2023	09:25:45.679	3960.286	17.188	OK
23-05-2023	09:26:45.680	4020.286	17.190	OK
23-05-2023	09:27:45.680	4080.287	17.194	OK
23-05-2023	09:28:45.687	4140.294	17.197	OK
23-05-2023	09:29:45.691	4200.297	17.196	OK
23-05-2023	09:30:45.695	4260.301	17.198	OK
23-05-2023	09:31:45.703	4320.310	17.201	OK
23-05-2023	09:32:45.710	4380.317	17.203	OK
23-05-2023	09:33:45.710	4440.317	17.205	OK
23-05-2023	09:34:45.721	4500.327	17.210	OK
23-05-2023	09:35:45.728	4560.334	17.208	OK
23-05-2023	09:36:45.737	4620.343	17.212	OK
23-05-2023	09:37:45.748	4680.355	17.217	OK
23-05-2023	09:38:45.762	4740.368	17.214	OK
23-05-2023	09:39:45.768	4800.374	17.221	OK
23-05-2023	09:40:45.776	4860.383	17.220	OK
23-05-2023	09:41:45.789	4920.396	17.216	OK
23-05-2023	09:42:45.790	4980.396	17.226	OK
23-05-2023	09:43:45.795	5040.402	17.226	OK
23-05-2023	09:44:45.796	5100.403	17.232	OK
23-05-2023	09:45:45.796	5160.403	17.228	OK
