#--- Experiment --------------------------------------------------------------------------
#bap_smelt5_rep2_08jun2023
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-O4BG9M2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:247475085D64A6AC Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SD7-543-215 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	30% (D)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	2023-06-08	2001-01-01	22.870667	54.300000	0.804000	0.122000	4000	-0.056000	0.969000	0.577000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.797974	17.014336	100.000000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (mg/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
08-06-2023	09:26:10.744	40.988	7.953	23.197	813	0	OK	08-06-2023	09:26:10.744	40.988	17.192	OK	08-06-2023	09:26:10.744	40.988	1017	OK
08-06-2023	09:27:10.743	100.987	7.960	23.187	815	0	OK	08-06-2023	09:27:10.743	100.987	17.194	OK	08-06-2023	09:27:10.743	100.987	1017	OK
08-06-2023	09:28:10.746	160.990	7.965	23.177	819	0	OK	08-06-2023	09:28:10.746	160.990	17.200	OK	08-06-2023	09:28:10.746	160.990	1017	OK
08-06-2023	09:29:10.746	220.990	7.966	23.177	821	0	OK	08-06-2023	09:29:10.746	220.990	17.196	OK	08-06-2023	09:29:10.746	220.990	1017	OK
08-06-2023	09:30:10.744	280.988	7.966	23.175	823	0	OK	08-06-2023	09:30:10.744	280.988	17.201	OK	08-06-2023	09:30:10.744	280.988	1017	OK
08-06-2023	09:31:10.746	340.990	7.973	23.163	828	0	OK	08-06-2023	09:31:10.746	340.990	17.205	OK	08-06-2023	09:31:10.746	340.990	1017	OK
08-06-2023	09:32:10.745	400.989	7.965	23.175	831	0	OK	08-06-2023	09:32:10.745	400.989	17.206	OK	08-06-2023	09:32:10.745	400.989	1017	OK
08-06-2023	09:33:10.745	460.989	7.970	23.167	833	0	OK	08-06-2023	09:33:10.745	460.989	17.208	OK	08-06-2023	09:33:10.745	460.989	1017	OK
08-06-2023	09:34:10.743	520.987	7.973	23.162	835	0	OK	08-06-2023	09:34:10.743	520.987	17.209	OK	08-06-2023	09:34:10.743	520.987	1017	OK
08-06-2023	09:35:10.744	580.988	7.971	23.163	837	0	OK	08-06-2023	09:35:10.744	580.988	17.212	OK	08-06-2023	09:35:10.744	580.988	1017	OK
08-06-2023	09:36:10.747	640.991	7.970	23.164	840	0	OK	08-06-2023	09:36:10.747	640.991	17.214	OK	08-06-2023	09:36:10.747	640.991	1017	OK
08-06-2023	09:37:10.745	700.989	7.966	23.169	842	-1	OK	08-06-2023	09:37:10.745	700.989	17.219	OK	08-06-2023	09:37:10.745	700.989	1017	OK
08-06-2023	09:38:10.744	760.988	7.971	23.160	848	-1	OK	08-06-2023	09:38:10.744	760.988	17.221	OK	08-06-2023	09:38:10.744	760.988	1017	OK
08-06-2023	09:39:10.746	820.990	7.965	23.170	851	0	OK	08-06-2023	09:39:10.746	820.990	17.221	OK	08-06-2023	09:39:10.746	820.990	1017	OK
08-06-2023	09:40:10.747	880.991	7.962	23.173	851	0	OK	08-06-2023	09:40:10.747	880.991	17.225	OK	08-06-2023	09:40:10.747	880.991	1017	OK
08-06-2023	09:41:10.749	940.993	7.962	23.171	852	0	OK	08-06-2023	09:41:10.749	940.993	17.228	OK	08-06-2023	09:41:10.749	940.993	1017	OK
08-06-2023	09:42:10.747	1000.991	7.966	23.167	854	0	OK	08-06-2023	09:42:10.747	1000.991	17.225	OK	08-06-2023	09:42:10.747	1000.991	1017	OK
08-06-2023	09:43:10.747	1060.991	7.953	23.184	855	0	OK	08-06-2023	09:43:10.747	1060.991	17.232	OK	08-06-2023	09:43:10.747	1060.991	1017	OK
08-06-2023	09:44:10.746	1120.990	7.951	23.185	856	0	OK	08-06-2023	09:44:10.746	1120.990	17.238	OK	08-06-2023	09:44:10.746	1120.990	1017	OK
08-06-2023	09:45:10.748	1180.992	7.957	23.177	856	0	OK	08-06-2023	09:45:10.748	1180.992	17.233	OK	08-06-2023	09:45:10.748	1180.992	1017	OK
08-06-2023	09:46:10.747	1240.991	7.954	23.179	857	0	OK	08-06-2023	09:46:10.747	1240.991	17.240	OK	08-06-2023	09:46:10.747	1240.991	1017	OK
08-06-2023	09:47:10.748	1300.992	7.960	23.172	859	0	OK	08-06-2023	09:47:10.748	1300.992	17.238	OK	08-06-2023	09:47:10.748	1300.992	1017	OK
08-06-2023	09:48:10.751	1360.995	7.960	23.170	859	0	OK	08-06-2023	09:48:10.751	1360.995	17.243	OK	08-06-2023	09:48:10.751	1360.995	1017	OK
08-06-2023	09:49:10.748	1420.992	7.952	23.181	861	0	OK	08-06-2023	09:49:10.748	1420.992	17.246	OK	08-06-2023	09:49:10.748	1420.992	1017	OK
08-06-2023	09:50:10.764	1481.008	7.950	23.183	863	0	OK	08-06-2023	09:50:10.764	1481.008	17.250	OK	08-06-2023	09:50:10.764	1481.008	1017	OK
