#--- Experiment --------------------------------------------------------------------------
#bap_smelt5_rep3_08jun2023
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-O4BG9M2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:247475085D64A6AC Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
08-06-2023	11:20:35.704	0.018	17.451	OK
08-06-2023	11:21:35.704	60.018	17.455	OK
08-06-2023	11:22:35.705	120.018	17.454	OK
08-06-2023	11:23:35.704	180.018	17.459	OK
08-06-2023	11:24:35.704	240.018	17.462	OK
08-06-2023	11:25:35.705	300.019	17.461	OK
08-06-2023	11:26:35.706	360.020	17.461	OK
08-06-2023	11:27:35.704	420.018	17.466	OK
08-06-2023	11:28:35.706	480.020	17.467	OK
08-06-2023	11:29:35.706	540.020	17.473	OK
08-06-2023	11:30:35.707	600.020	17.474	OK
08-06-2023	11:31:35.706	660.020	17.476	OK
08-06-2023	11:32:35.708	720.022	17.475	OK
08-06-2023	11:33:35.708	780.022	17.481	OK
08-06-2023	11:34:35.709	840.023	17.480	OK
08-06-2023	11:35:35.709	900.023	17.484	OK
08-06-2023	11:36:35.710	960.023	17.485	OK
08-06-2023	11:37:35.712	1020.025	17.490	OK
08-06-2023	11:38:35.711	1080.025	17.491	OK
08-06-2023	11:39:35.712	1140.026	17.492	OK
08-06-2023	11:40:35.712	1200.026	17.495	OK
08-06-2023	11:41:35.713	1260.026	17.497	OK
08-06-2023	11:42:35.713	1320.026	17.497	OK
08-06-2023	11:43:35.712	1380.025	17.500	OK
08-06-2023	11:44:35.719	1440.033	17.502	OK
08-06-2023	11:45:35.726	1500.040	17.508	OK
08-06-2023	11:46:35.738	1560.051	17.507	OK
08-06-2023	11:47:35.737	1620.051	17.510	OK
08-06-2023	11:48:35.743	1680.057	17.508	OK
08-06-2023	11:49:35.751	1740.064	17.512	OK
08-06-2023	11:50:35.751	1800.064	17.519	OK
08-06-2023	11:51:35.762	1860.075	17.518	OK
08-06-2023	11:52:35.762	1920.075	17.522	OK
08-06-2023	11:53:35.762	1980.076	17.521	OK
08-06-2023	11:54:35.762	2040.076	17.524	OK
08-06-2023	11:55:35.765	2100.079	17.528	OK
08-06-2023	11:56:35.774	2160.088	17.529	OK
08-06-2023	11:57:35.774	2220.088	17.531	OK
08-06-2023	11:58:35.779	2280.093	17.529	OK
08-06-2023	11:59:35.782	2340.096	17.532	OK
08-06-2023	12:00:35.792	2400.106	17.538	OK
08-06-2023	12:01:35.801	2460.114	17.539	OK
08-06-2023	12:02:35.815	2520.129	17.546	OK
08-06-2023	12:03:35.814	2580.128	17.542	OK
08-06-2023	12:04:35.820	2640.134	17.547	OK
08-06-2023	12:05:35.825	2700.138	17.546	OK
08-06-2023	12:06:35.825	2760.138	17.550	OK
08-06-2023	12:07:35.832	2820.146	17.550	OK
08-06-2023	12:08:35.837	2880.150	17.552	OK
08-06-2023	12:09:35.845	2940.159	17.555	OK
08-06-2023	12:10:35.853	3000.167	17.556	OK
08-06-2023	12:11:35.856	3060.169	17.559	OK
08-06-2023	12:12:35.865	3120.179	17.559	OK
08-06-2023	12:13:35.869	3180.182	17.565	OK
08-06-2023	12:14:35.878	3240.192	17.567	OK
08-06-2023	12:15:35.883	3300.196	17.568	OK
08-06-2023	12:16:35.883	3360.197	17.569	OK
08-06-2023	12:17:35.886	3420.200	17.568	OK
08-06-2023	12:18:35.893	3480.206	17.576	OK
08-06-2023	12:19:35.897	3540.211	17.574	OK
08-06-2023	12:20:35.905	3600.219	17.575	OK
08-06-2023	12:21:35.912	3660.225	17.580	OK
08-06-2023	12:22:35.917	3720.231	17.581	OK
08-06-2023	12:23:35.923	3780.237	17.584	OK
08-06-2023	12:24:35.926	3840.240	17.586	OK
08-06-2023	12:25:35.927	3900.240	17.586	OK
08-06-2023	12:26:35.927	3960.241	17.590	OK
08-06-2023	12:27:35.928	4020.242	17.593	OK
08-06-2023	12:28:35.928	4080.242	17.594	OK
08-06-2023	12:29:35.930	4140.244	17.595	OK
08-06-2023	12:30:35.936	4200.250	17.599	OK
08-06-2023	12:31:35.945	4260.258	17.598	OK
08-06-2023	12:32:35.947	4320.261	17.603	OK
