#--- Experiment --------------------------------------------------------------------------
#bap_background1_25may2023
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-O4BG9M2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:247475085D64A6AC Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SD7-543-215 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	30% (D)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	2023-05-25	2001-01-01	22.302670	54.300000	0.804000	0.122000	4000	-0.056000	0.969000	0.577000	0.000000	-0.000303	0.000000	0.000000	fixed f	1014.361023	17.267267	100.000000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (mg/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
25-05-2023	14:17:53.668	34.376	7.876	22.529	943	-1	OK	25-05-2023	14:17:53.668	34.376	17.819	OK	25-05-2023	14:17:53.668	34.376	1017	OK
25-05-2023	14:18:53.667	94.375	7.878	22.524	943	-1	OK	25-05-2023	14:18:53.667	94.375	17.824	OK	25-05-2023	14:18:53.667	94.375	1017	OK
25-05-2023	14:19:53.667	154.375	7.876	22.528	943	0	OK	25-05-2023	14:19:53.667	154.375	17.821	OK	25-05-2023	14:19:53.667	154.375	1017	OK
25-05-2023	14:20:53.668	214.376	7.869	22.538	943	-1	OK	25-05-2023	14:20:53.668	214.376	17.824	OK	25-05-2023	14:20:53.668	214.376	1017	OK
25-05-2023	14:21:53.668	274.376	7.868	22.538	943	-1	OK	25-05-2023	14:21:53.668	274.376	17.828	OK	25-05-2023	14:21:53.668	274.376	1017	OK
25-05-2023	14:22:53.668	334.376	7.864	22.544	944	-1	OK	25-05-2023	14:22:53.668	334.376	17.827	OK	25-05-2023	14:22:53.668	334.376	1017	OK
25-05-2023	14:23:53.667	394.375	7.862	22.546	944	-1	OK	25-05-2023	14:23:53.667	394.375	17.828	OK	25-05-2023	14:23:53.667	394.375	1017	OK
25-05-2023	14:24:53.668	454.376	7.864	22.543	944	-1	OK	25-05-2023	14:24:53.668	454.376	17.829	OK	25-05-2023	14:24:53.668	454.376	1017	OK
25-05-2023	14:25:53.668	514.376	7.862	22.546	945	0	OK	25-05-2023	14:25:53.668	514.376	17.831	OK	25-05-2023	14:25:53.668	514.376	1017	OK
25-05-2023	14:26:53.669	574.377	7.859	22.550	945	0	OK	25-05-2023	14:26:53.669	574.377	17.831	OK	25-05-2023	14:26:53.669	574.377	1017	OK
25-05-2023	14:27:53.669	634.377	7.844	22.572	946	-1	OK	25-05-2023	14:27:53.669	634.377	17.831	OK	25-05-2023	14:27:53.669	634.377	1017	OK
25-05-2023	14:28:53.674	694.382	7.822	22.605	947	0	OK	25-05-2023	14:28:53.674	694.382	17.834	OK	25-05-2023	14:28:53.674	694.382	1017	OK
25-05-2023	14:29:53.669	754.377	7.822	22.605	947	-1	OK	25-05-2023	14:29:53.669	754.377	17.834	OK	25-05-2023	14:29:53.669	754.377	1017	OK
25-05-2023	14:30:53.670	814.378	7.818	22.610	948	-1	OK	25-05-2023	14:30:53.670	814.378	17.836	OK	25-05-2023	14:30:53.670	814.378	1017	OK
25-05-2023	14:31:53.670	874.378	7.819	22.609	948	0	OK	25-05-2023	14:31:53.670	874.378	17.836	OK	25-05-2023	14:31:53.670	874.378	1017	OK
25-05-2023	14:32:53.669	934.377	7.819	22.609	948	0	OK	25-05-2023	14:32:53.669	934.377	17.837	OK	25-05-2023	14:32:53.669	934.377	1017	OK
25-05-2023	14:33:53.670	994.378	7.814	22.615	948	0	OK	25-05-2023	14:33:53.670	994.378	17.838	OK	25-05-2023	14:33:53.670	994.378	1017	OK
25-05-2023	14:34:53.671	1054.379	7.818	22.608	948	-1	OK	25-05-2023	14:34:53.671	1054.379	17.841	OK	25-05-2023	14:34:53.671	1054.379	1017	OK
25-05-2023	14:35:53.673	1114.381	7.815	22.612	949	-1	OK	25-05-2023	14:35:53.673	1114.381	17.844	OK	25-05-2023	14:35:53.673	1114.381	1017	OK
25-05-2023	14:36:53.673	1174.381	7.811	22.617	948	-1	OK	25-05-2023	14:36:53.673	1174.381	17.846	OK	25-05-2023	14:36:53.673	1174.381	1017	OK
25-05-2023	14:37:53.672	1234.380	7.806	22.625	948	-1	OK	25-05-2023	14:37:53.672	1234.380	17.848	OK	25-05-2023	14:37:53.672	1234.380	1017	OK
25-05-2023	14:38:53.673	1294.381	7.803	22.629	949	-1	OK	25-05-2023	14:38:53.673	1294.381	17.846	OK	25-05-2023	14:38:53.673	1294.381	1017	OK
25-05-2023	14:39:53.672	1354.380	7.802	22.631	949	0	OK	25-05-2023	14:39:53.672	1354.380	17.849	OK	25-05-2023	14:39:53.672	1354.380	1017	OK
25-05-2023	14:40:53.673	1414.381	7.805	22.626	949	0	OK	25-05-2023	14:40:53.673	1414.381	17.847	OK	25-05-2023	14:40:53.673	1414.381	1017	OK
25-05-2023	14:41:53.673	1474.381	7.793	22.643	949	0	OK	25-05-2023	14:41:53.673	1474.381	17.851	OK	25-05-2023	14:41:53.673	1474.381	1017	OK
25-05-2023	14:42:53.672	1534.380	7.796	22.637	949	-1	OK	25-05-2023	14:42:53.672	1534.380	17.854	OK	25-05-2023	14:42:53.672	1534.380	1017	OK
25-05-2023	14:43:53.672	1594.380	7.793	22.642	949	0	OK	25-05-2023	14:43:53.672	1594.380	17.855	OK	25-05-2023	14:43:53.672	1594.380	1017	OK
25-05-2023	14:44:53.673	1654.381	7.793	22.642	949	-1	OK	25-05-2023	14:44:53.673	1654.381	17.856	OK	25-05-2023	14:44:53.673	1654.381	1017	OK
25-05-2023	14:45:53.673	1714.381	7.786	22.651	949	0	OK	25-05-2023	14:45:53.673	1714.381	17.859	OK	25-05-2023	14:45:53.673	1714.381	1017	OK
25-05-2023	14:46:53.674	1774.382	7.789	22.648	949	-1	OK	25-05-2023	14:46:53.674	1774.382	17.857	OK	25-05-2023	14:46:53.674	1774.382	1017	OK
25-05-2023	14:47:53.673	1834.381	7.794	22.639	949	0	OK	25-05-2023	14:47:53.673	1834.381	17.861	OK	25-05-2023	14:47:53.673	1834.381	1017	OK
25-05-2023	14:48:53.674	1894.382	7.791	22.643	950	-1	OK	25-05-2023	14:48:53.674	1894.382	17.861	OK	25-05-2023	14:48:53.674	1894.382	1017	OK
25-05-2023	14:49:53.674	1954.382	7.789	22.646	949	-1	OK	25-05-2023	14:49:53.674	1954.382	17.863	OK	25-05-2023	14:49:53.674	1954.382	1017	OK
25-05-2023	14:50:53.675	2014.383	7.783	22.654	949	-1	OK	25-05-2023	14:50:53.675	2014.383	17.864	OK	25-05-2023	14:50:53.675	2014.383	1017	OK
25-05-2023	14:51:53.674	2074.382	7.783	22.654	949	-1	OK	25-05-2023	14:51:53.674	2074.382	17.863	OK	25-05-2023	14:51:53.674	2074.382	1017	OK
25-05-2023	14:52:53.675	2134.382	7.780	22.657	950	0	OK	25-05-2023	14:52:53.675	2134.382	17.869	OK	25-05-2023	14:52:53.675	2134.382	1017	OK
25-05-2023	14:53:53.675	2194.383	7.780	22.658	949	0	OK	25-05-2023	14:53:53.675	2194.383	17.868	OK	25-05-2023	14:53:53.675	2194.383	1017	OK
25-05-2023	14:54:53.675	2254.383	7.777	22.663	949	-1	OK	25-05-2023	14:54:53.675	2254.383	17.864	OK	25-05-2023	14:54:53.675	2254.383	1017	OK
25-05-2023	14:55:53.676	2314.384	7.780	22.659	950	0	OK	25-05-2023	14:55:53.676	2314.384	17.865	OK	25-05-2023	14:55:53.676	2314.384	1017	OK
25-05-2023	14:56:53.676	2374.384	7.776	22.662	949	-1	OK	25-05-2023	14:56:53.676	2374.384	17.873	OK	25-05-2023	14:56:53.676	2374.384	1017	OK
25-05-2023	14:57:53.675	2434.383	7.777	22.660	950	-1	OK	25-05-2023	14:57:53.675	2434.383	17.872	OK	25-05-2023	14:57:53.675	2434.383	1017	OK
25-05-2023	14:58:53.676	2494.384	7.771	22.669	950	-1	OK	25-05-2023	14:58:53.676	2494.384	17.874	OK	25-05-2023	14:58:53.676	2494.384	1017	OK
25-05-2023	14:59:53.676	2554.384	7.770	22.670	950	0	OK	25-05-2023	14:59:53.676	2554.384	17.877	OK	25-05-2023	14:59:53.676	2554.384	1017	OK
25-05-2023	15:00:53.677	2614.385	7.772	22.666	950	-1	OK	25-05-2023	15:00:53.677	2614.385	17.877	OK	25-05-2023	15:00:53.677	2614.385	1017	OK
