#--- Experiment --------------------------------------------------------------------------
#bap_background1_25may2023
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-O4BG9M2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:247475085D64A6AC Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
25-05-2023	14:17:19.309	0.017	17.823	OK
25-05-2023	14:18:19.309	60.017	17.823	OK
25-05-2023	14:19:19.310	120.018	17.821	OK
25-05-2023	14:20:19.309	180.017	17.822	OK
25-05-2023	14:21:19.310	240.018	17.824	OK
25-05-2023	14:22:19.312	300.020	17.828	OK
25-05-2023	14:23:19.312	360.019	17.825	OK
25-05-2023	14:24:19.312	420.019	17.828	OK
25-05-2023	14:25:19.311	480.019	17.830	OK
25-05-2023	14:26:19.312	540.020	17.830	OK
25-05-2023	14:27:19.312	600.019	17.830	OK
25-05-2023	14:28:19.312	660.020	17.831	OK
25-05-2023	14:29:19.312	720.020	17.836	OK
25-05-2023	14:30:19.313	780.021	17.833	OK
25-05-2023	14:31:19.313	840.021	17.840	OK
25-05-2023	14:32:19.313	900.021	17.838	OK
25-05-2023	14:33:19.314	960.022	17.837	OK
25-05-2023	14:34:19.314	1020.022	17.842	OK
25-05-2023	14:35:19.315	1080.023	17.846	OK
25-05-2023	14:36:19.316	1140.024	17.845	OK
25-05-2023	14:37:19.315	1200.023	17.846	OK
25-05-2023	14:38:19.315	1260.023	17.846	OK
25-05-2023	14:39:19.316	1320.024	17.845	OK
25-05-2023	14:40:19.317	1380.025	17.849	OK
25-05-2023	14:41:19.316	1440.024	17.848	OK
25-05-2023	14:42:19.317	1500.025	17.852	OK
25-05-2023	14:43:19.317	1560.025	17.853	OK
25-05-2023	14:44:19.317	1620.025	17.856	OK
25-05-2023	14:45:19.317	1680.025	17.859	OK
25-05-2023	14:46:19.317	1740.025	17.859	OK
25-05-2023	14:47:19.318	1800.026	17.858	OK
25-05-2023	14:48:19.317	1860.025	17.858	OK
25-05-2023	14:49:19.317	1920.025	17.862	OK
25-05-2023	14:50:19.317	1980.025	17.864	OK
25-05-2023	14:51:19.317	2040.025	17.864	OK
25-05-2023	14:52:19.318	2100.026	17.864	OK
25-05-2023	14:53:19.318	2160.026	17.864	OK
25-05-2023	14:54:19.317	2220.025	17.867	OK
25-05-2023	14:55:19.317	2280.025	17.870	OK
25-05-2023	14:56:19.317	2340.025	17.871	OK
25-05-2023	14:57:19.317	2400.025	17.872	OK
25-05-2023	14:58:19.318	2460.026	17.874	OK
25-05-2023	14:59:19.317	2520.025	17.873	OK
25-05-2023	15:00:19.317	2580.025	17.871	OK
25-05-2023	15:01:19.318	2640.026	17.873	OK
25-05-2023	15:02:19.318	2700.026	17.880	OK
25-05-2023	15:03:19.318	2760.026	17.880	OK
25-05-2023	15:04:19.318	2820.026	17.881	OK
25-05-2023	15:05:19.318	2880.026	17.882	OK
25-05-2023	15:06:19.319	2940.027	17.883	OK
25-05-2023	15:07:19.318	3000.026	17.886	OK
25-05-2023	15:08:19.319	3060.027	17.882	OK
25-05-2023	15:09:19.320	3120.028	17.889	OK
25-05-2023	15:10:19.320	3180.028	17.889	OK
25-05-2023	15:11:19.320	3240.028	17.887	OK
25-05-2023	15:12:19.320	3300.028	17.889	OK
25-05-2023	15:13:19.321	3360.029	17.891	OK
25-05-2023	15:14:19.322	3420.030	17.896	OK
25-05-2023	15:15:19.322	3480.030	17.896	OK
25-05-2023	15:16:19.323	3540.031	17.898	OK
25-05-2023	15:17:19.322	3600.030	17.898	OK
25-05-2023	15:18:19.322	3660.030	17.898	OK
25-05-2023	15:19:19.323	3720.031	17.902	OK
25-05-2023	15:20:19.323	3780.031	17.900	OK
25-05-2023	15:21:19.325	3840.033	17.903	OK
25-05-2023	15:22:19.324	3900.032	17.904	OK
25-05-2023	15:23:19.324	3960.032	17.902	OK
25-05-2023	15:24:19.325	4020.033	17.909	OK
25-05-2023	15:25:19.325	4080.033	17.904	OK
25-05-2023	15:26:19.324	4140.032	17.908	OK
25-05-2023	15:27:19.325	4200.033	17.909	OK
25-05-2023	15:28:19.324	4260.032	17.913	OK
25-05-2023	15:29:19.325	4320.033	17.915	OK
25-05-2023	15:30:19.326	4380.034	17.914	OK
25-05-2023	15:31:19.327	4440.035	17.917	OK
25-05-2023	15:32:19.327	4500.035	17.917	OK
25-05-2023	15:33:19.328	4560.036	17.920	OK
25-05-2023	15:34:19.329	4620.037	17.920	OK
25-05-2023	15:35:19.329	4680.037	17.922	OK
25-05-2023	15:36:19.330	4740.038	17.927	OK
25-05-2023	15:37:19.331	4800.038	17.924	OK
25-05-2023	15:38:19.331	4860.039	17.926	OK
25-05-2023	15:39:19.331	4920.039	17.932	OK
