#--- Experiment --------------------------------------------------------------------------
#bap_background2_12jun2023
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-O4BG9M2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:247475085D64A6AC Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SD7-543-215 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	30% (D)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	2023-06-12	2001-01-01	23.343134	54.300000	0.804000	0.122000	4000	-0.056000	0.969000	0.577000	0.000000	-0.000303	0.000000	0.000000	fixed f	1027.526978	17.050200	100.000000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (mg/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
12-06-2023	08:02:26.257	23.847	7.962	23.830	505	-1	OK	12-06-2023	08:02:26.257	23.847	17.081	OK	12-06-2023	08:02:26.257	23.847	1027	OK
12-06-2023	08:03:26.255	83.845	7.946	23.854	507	0	OK	12-06-2023	08:03:26.255	83.845	17.082	OK	12-06-2023	08:03:26.255	83.845	1028	OK
12-06-2023	08:04:26.260	143.850	7.912	23.904	509	0	OK	12-06-2023	08:04:26.260	143.850	17.086	OK	12-06-2023	08:04:26.260	143.850	1027	OK
12-06-2023	08:05:26.256	203.847	7.862	23.979	513	0	OK	12-06-2023	08:05:26.256	203.847	17.088	OK	12-06-2023	08:05:26.256	203.847	1028	OK
12-06-2023	08:06:26.261	263.851	7.827	24.032	515	0	OK	12-06-2023	08:06:26.261	263.851	17.091	OK	12-06-2023	08:06:26.261	263.851	1027	OK
12-06-2023	08:07:26.257	323.847	7.820	24.044	517	-1	OK	12-06-2023	08:07:26.257	323.847	17.089	OK	12-06-2023	08:07:26.257	323.847	1028	OK
12-06-2023	08:08:26.153	383.744	7.825	24.035	519	0	OK	12-06-2023	08:08:26.153	383.744	17.092	OK	12-06-2023	08:08:26.153	383.744	1028	OK
12-06-2023	08:09:26.152	443.742	7.803	24.069	521	0	OK	12-06-2023	08:09:26.152	443.742	17.093	OK	12-06-2023	08:09:26.152	443.742	1027	OK
12-06-2023	08:10:26.150	503.741	7.756	24.141	525	0	OK	12-06-2023	08:10:26.150	503.741	17.097	OK	12-06-2023	08:10:26.150	503.741	1027	OK
12-06-2023	08:11:26.151	563.741	7.681	24.258	529	0	OK	12-06-2023	08:11:26.151	563.741	17.099	OK	12-06-2023	08:11:26.151	563.741	1028	OK
12-06-2023	08:12:26.151	623.742	7.539	24.486	537	0	OK	12-06-2023	08:12:26.151	623.742	17.095	OK	12-06-2023	08:12:26.151	623.742	1027	OK
12-06-2023	08:13:26.152	683.742	7.320	24.845	548	0	OK	12-06-2023	08:13:26.152	683.742	17.097	OK	12-06-2023	08:13:26.152	683.742	1027	OK
12-06-2023	08:14:26.150	743.740	7.321	24.843	550	0	OK	12-06-2023	08:14:26.150	743.740	17.098	OK	12-06-2023	08:14:26.150	743.740	1027	OK
12-06-2023	08:15:26.151	803.741	7.298	24.883	552	0	OK	12-06-2023	08:15:26.151	803.741	17.093	OK	12-06-2023	08:15:26.151	803.741	1027	OK
12-06-2023	08:16:26.157	863.747	7.286	24.901	555	0	OK	12-06-2023	08:16:26.157	863.747	17.097	OK	12-06-2023	08:16:26.157	863.747	1027	OK
12-06-2023	08:17:26.153	923.743	7.277	24.917	558	0	OK	12-06-2023	08:17:26.153	923.743	17.096	OK	12-06-2023	08:17:26.153	923.743	1027	OK
12-06-2023	08:18:26.156	983.746	7.261	24.944	560	0	OK	12-06-2023	08:18:26.156	983.746	17.097	OK	12-06-2023	08:18:26.156	983.746	1027	OK
12-06-2023	08:19:26.153	1043.744	7.255	24.953	563	0	OK	12-06-2023	08:19:26.153	1043.744	17.098	OK	12-06-2023	08:19:26.153	1043.744	1027	OK
12-06-2023	08:20:26.047	1103.637	7.249	24.963	565	0	OK	12-06-2023	08:20:26.047	1103.637	17.096	OK	12-06-2023	08:20:26.047	1103.637	1027	OK
12-06-2023	08:21:26.157	1163.747	7.247	24.966	567	0	OK	12-06-2023	08:21:26.157	1163.747	17.098	OK	12-06-2023	08:21:26.157	1163.747	1027	OK
12-06-2023	08:22:26.049	1223.639	7.228	24.997	569	0	OK	12-06-2023	08:22:26.049	1223.639	17.102	OK	12-06-2023	08:22:26.049	1223.639	1027	OK
12-06-2023	08:23:26.048	1283.638	7.237	24.982	570	0	OK	12-06-2023	08:23:26.048	1283.638	17.102	OK	12-06-2023	08:23:26.048	1283.638	1027	OK
12-06-2023	08:24:26.049	1343.639	7.234	24.986	572	0	OK	12-06-2023	08:24:26.049	1343.639	17.107	OK	12-06-2023	08:24:26.049	1343.639	1028	OK
