#--- Experiment --------------------------------------------------------------------------
#bap_background2_12jun2023
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-O4BG9M2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:247475085D64A6AC Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
12-06-2023	08:02:02.425	0.016	17.080	OK
12-06-2023	08:03:02.427	60.017	17.083	OK
12-06-2023	08:04:02.426	120.016	17.086	OK
12-06-2023	08:05:02.427	180.017	17.088	OK
12-06-2023	08:06:02.427	240.017	17.087	OK
12-06-2023	08:07:02.428	300.018	17.092	OK
12-06-2023	08:08:02.428	360.019	17.092	OK
12-06-2023	08:09:02.428	420.019	17.092	OK
12-06-2023	08:10:02.429	480.019	17.092	OK
12-06-2023	08:11:02.428	540.018	17.099	OK
12-06-2023	08:12:02.427	600.018	17.097	OK
12-06-2023	08:13:02.428	660.019	17.096	OK
12-06-2023	08:14:02.427	720.018	17.096	OK
12-06-2023	08:15:02.429	780.019	17.096	OK
12-06-2023	08:16:02.428	840.018	17.094	OK
12-06-2023	08:17:02.430	900.020	17.093	OK
12-06-2023	08:18:02.430	960.020	17.095	OK
12-06-2023	08:19:02.431	1020.021	17.096	OK
12-06-2023	08:20:02.432	1080.022	17.096	OK
12-06-2023	08:21:02.433	1140.023	17.099	OK
12-06-2023	08:22:02.434	1200.024	17.098	OK
12-06-2023	08:23:02.435	1260.025	17.099	OK
12-06-2023	08:24:02.436	1320.026	17.102	OK
12-06-2023	08:25:02.435	1380.025	17.107	OK
12-06-2023	08:26:02.436	1440.026	17.109	OK
12-06-2023	08:27:02.436	1500.026	17.115	OK
12-06-2023	08:28:02.436	1560.026	17.116	OK
12-06-2023	08:29:02.435	1620.025	17.119	OK
12-06-2023	08:30:02.435	1680.026	17.122	OK
12-06-2023	08:31:02.437	1740.027	17.124	OK
12-06-2023	08:32:02.436	1800.026	17.123	OK
12-06-2023	08:33:02.438	1860.028	17.124	OK
12-06-2023	08:34:02.438	1920.028	17.133	OK
12-06-2023	08:35:02.439	1980.029	17.129	OK
12-06-2023	08:36:02.438	2040.029	17.132	OK
12-06-2023	08:37:02.438	2100.028	17.133	OK
12-06-2023	08:38:02.439	2160.029	17.135	OK
12-06-2023	08:39:02.438	2220.028	17.139	OK
12-06-2023	08:40:02.438	2280.029	17.141	OK
12-06-2023	08:41:02.439	2340.029	17.143	OK
12-06-2023	08:42:02.439	2400.029	17.145	OK
12-06-2023	08:43:02.440	2460.030	17.147	OK
12-06-2023	08:44:02.441	2520.031	17.153	OK
12-06-2023	08:45:02.441	2580.031	17.152	OK
12-06-2023	08:46:02.439	2640.030	17.156	OK
12-06-2023	08:47:02.440	2700.030	17.158	OK
12-06-2023	08:48:02.440	2760.030	17.160	OK
12-06-2023	08:49:02.440	2820.030	17.164	OK
12-06-2023	08:50:02.440	2880.030	17.165	OK
12-06-2023	08:51:02.440	2940.030	17.164	OK
12-06-2023	08:52:02.440	3000.030	17.167	OK
12-06-2023	08:53:02.441	3060.031	17.170	OK
12-06-2023	08:54:02.440	3120.030	17.175	OK
12-06-2023	08:55:02.441	3180.031	17.175	OK
12-06-2023	08:56:02.441	3240.031	17.177	OK
12-06-2023	08:57:02.441	3300.031	17.179	OK
12-06-2023	08:58:02.442	3360.032	17.179	OK
12-06-2023	08:59:02.441	3420.032	17.182	OK
12-06-2023	09:00:02.441	3480.032	17.187	OK
12-06-2023	09:01:02.441	3540.031	17.190	OK
12-06-2023	09:02:02.442	3600.032	17.188	OK
12-06-2023	09:03:02.443	3660.033	17.196	OK
12-06-2023	09:04:02.443	3720.033	17.199	OK
12-06-2023	09:05:02.444	3780.034	17.201	OK
12-06-2023	09:06:02.444	3840.034	17.202	OK
12-06-2023	09:07:02.444	3900.034	17.203	OK
12-06-2023	09:08:02.445	3960.035	17.205	OK
12-06-2023	09:09:02.445	4020.035	17.209	OK
12-06-2023	09:10:02.446	4080.037	17.211	OK
12-06-2023	09:11:02.447	4140.038	17.214	OK
12-06-2023	09:12:02.447	4200.038	17.214	OK
12-06-2023	09:13:02.448	4260.038	17.215	OK
12-06-2023	09:14:02.449	4320.039	17.220	OK
12-06-2023	09:15:02.448	4380.038	17.223	OK
12-06-2023	09:16:02.448	4440.038	17.226	OK
12-06-2023	09:17:02.448	4500.038	17.224	OK
12-06-2023	09:18:02.448	4560.038	17.229	OK
12-06-2023	09:19:02.449	4620.040	17.230	OK
12-06-2023	09:20:02.449	4680.039	17.234	OK
12-06-2023	09:21:02.450	4740.040	17.235	OK
12-06-2023	09:22:02.450	4800.040	17.237	OK
12-06-2023	09:23:02.450	4860.040	17.242	OK
